"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 15 10:31:11 GMT 2024","Tue Oct 15 10:31:11 GMT 2024","0","tests","test_empty_input","TestCheckoutEmptyValidation","","","test_checkout_empty_validation",""
"broken","Tue Oct 15 10:31:12 GMT 2024","Tue Oct 15 10:31:12 GMT 2024","0","tests","test_input_validation","TestCheckoutValidation","","","test_checkout_validation",""
"broken","Tue Oct 15 10:31:12 GMT 2024","Tue Oct 15 10:31:12 GMT 2024","0","tests","test_remove_ from_ cart","TestRemoveFromCart","","","test_remove_product_from_cart",""
"broken","Tue Oct 15 10:31:11 GMT 2024","Tue Oct 15 10:31:11 GMT 2024","0","tests","test_add_to_cart","TestAddToCart","","","test_add_product_to_cart",""
